carnet,nombres,apellidos,sexo,fecha_nacimiento,profesion,celular,direccion
703379-248,Miguel Ángel,Velázquez Arevalo,F,1983-04-17,Abogado,+86(3)7931592294,Circuito Sur Guevara 586
451924-249,César,Bétancourt Jurado,F,1980-08-25,Ingeniero,(957)716-1671x876,Periférico Tailandia 599
541441-250,Rosario,Almaraz Ramón,M,1990-09-05,Contador,148.189.7270x8921,Continuación Sur Benavides 669
643422-251,Pamela,Muñoz Figueroa,F,1991-07-21,Doctor,904.779.0900x488,Pasaje Sur Ochoa 316
245792-252,Gloria,Negrete Mora,M,1976-07-10,Arquitecto,718.531.1609,Ampliación Alemania 473
374632-253,Gabriel,Ramos Ojeda,F,1994-01-26,Arquitecto,069-607-4197,Circuito Barragán 376
591251-254,Angélica,Caraballo Madrigal,M,1973-09-24,Contador,(195)492-0882x78926,Calle Chiapas 353
832551-255,Camila,Trejo Escobar,F,1976-09-24,Arquitecto,549-899-7162,Avenida Tabasco 616
691647-256,Silvano,Sánchez Murillo,M,1975-05-29,Contador,07055108009,Cerrada Michoacán de Ocampo 607
139768-257,Sergio,Mendoza Mota,M,1974-03-02,Contador,756.934.6074x7012,Cerrada Mali 661
801709-258,Jorge Luis,Bustamante Calvillo,M,2001-01-16,Ingeniero,269.063.6739x13012,Continuación Nueva Zelandia 160
672262-259,Graciela,Barrientos Sierra,M,1979-03-10,Electricista,277-636-9994x527,Callejón Sáenz 605
345327-260,Jacobo,Medrano Rosas,F,2007-01-24,Electricista,(312)992-5666x5066,Privada Norte Reynoso 605
475363-261,Germán,Romo Pedroza,M,1997-11-11,Arquitecto,500.644.3116,Boulevard Finlandia 709
257468-262,Mauro,Valenzuela Villalobos,F,1980-09-03,Profesor,+49(2)6074432623,Calzada Urbina 559
666781-263,Delia,Leyva Vallejo,F,1976-09-15,Programador,(409)840-2994,Periférico Casas 920
701323-264,René,Otero Aguilar,M,1967-03-28,Doctor,+06(7)3692775270,Diagonal Puebla 122
113378-265,Héctor,Villareal Hernandes,F,1971-03-30,Contador,1-219-803-6342x9560,Circunvalación Sur Palomo 621
903428-266,Rosa,Campos Lucero,M,1998-04-10,Programador,1-830-087-6146,Andador México 455
338430-267,Felix,Guillen Ybarra,M,2001-08-02,Ingeniero,407.760.9712x6899,Calzada Durango 595
658025-268,Marcela,Arreola Herrera,M,1980-03-01,Contador,197-032-2083,Calzada Chiapas 853
103352-269,Germán,Palacios Madrigal,M,1988-04-07,Programador,793-338-1293,Boulevard Sur Bustos 623
992074-270,Elias,Flórez Toro,F,1977-03-04,Enfermero,03870962985,Calzada Carbajal 530
357748-271,Rosa,Alva Campos,M,1976-04-08,Enfermero,(873)898-1514x7932,Viaducto Tapia 841
935342-272,Citlali,Leiva Luna,M,1968-10-11,Abogado,497-640-7303x3893,Callejón Norte Orozco 976
477411-273,Abril,Barragán Rocha,F,1984-07-23,Profesor,1-942-494-9529,Corredor Querétaro 985
936018-274,Nancy,Sarabia Ulloa,M,1987-07-07,Doctor,+98(9)6663423624,Eje vial Norte Mojica 566
251773-275,Dulce María,Saucedo Aragón,M,1988-10-17,Enfermero,286.833.5014,Callejón Puebla 283
419841-276,Lucas,Henríquez Solano,F,1966-12-14,Doctor,480.599.6907,Ampliación Villa 552
853969-277,César,Gallegos de León,F,1999-09-02,Diseñador,(539)843-4396x89192,Viaducto Sur Arenas 299
262983-278,Ruby,Gaona Tapia,M,2005-12-17,Programador,1-940-918-4695x34040,Ampliación Sandoval 557
134417-279,Guillermo,Blanco de la Rosa,F,2004-08-23,Contador,1-267-390-1111x07060,Diagonal Eslovenia 503
766101-280,Gabino,Guzmán Sanches,F,1981-12-17,Arquitecto,1-685-879-6937,Peatonal Norte Valadez 542
666156-281,Berta,del Valle Peralta,F,1969-03-30,Ingeniero,(475)682-8320x553,Continuación Tamaulipas 135
615450-282,Marisela,Feliciano Reyna,F,1994-03-05,Arquitecto,+53(8)6077666858,Privada Quintana Roo 515
671790-283,Leticia,Valentín Gallardo,M,1992-04-06,Programador,146-922-0147,Avenida Cazares 384
376779-284,Isabel,Vázquez Iglesias,M,2002-12-21,Abogado,1-432-046-3654,Boulevard Túnez 384
385605-285,Sara,Valentín Vigil,F,2005-10-20,Abogado,+67(7)5337204604,Privada Sur Saavedra 183
931748-286,Elvira,Aranda Rodarte,F,1979-08-28,Doctor,(571)467-7786x7913,Periférico Morelos 479
914793-287,Verónica,Terán Vega,F,1980-04-17,Programador,+43(7)3488482019,Ampliación Venezuela 214
797086-288,Fidel,de Jesús Armenta,M,1991-08-25,Arquitecto,(095)737-5320x47202,Ampliación Campeche 549
172761-289,María Cristina,Grijalva Zelaya,M,1988-04-05,Programador,(440)915-8856x8525,Eje vial China 924
609449-290,Natividad,Razo Esparza,M,1992-06-12,Programador,1-074-456-0963x31775,Viaducto Sur de la O 814
113158-291,Pablo,Camarillo Sandoval,M,1985-12-24,Electricista,+83(9)7847535235,Periférico Letonia 814
872212-292,Estela,Cantú Padrón,M,1982-09-04,Abogado,(521)889-9588,Andador Niger 234
996354-293,Teodoro,Alba Olivo,F,2004-05-09,Arquitecto,+89(6)7172453149,Diagonal Fajardo 912
279804-294,Yuridia,Hernádez Echeverría,M,2007-01-07,Arquitecto,887-232-0251x879,Corredor Sur Orosco 935
881638-295,Amelia,Mondragón Pantoja,M,2004-08-05,Contador,411-367-1203x7621,Continuación Sur Carranza 776
111682-296,Alejandro,Montaño Flores,F,1978-04-23,Diseñador,802-963-9033x2717,Privada Mendoza 416
418424-297,Zeferino,Baca Maya,M,1965-04-28,Profesor,204-158-1839x79472,Viaducto Portugal 332
548035-298,Aldo,Pelayo Olivas,F,1997-12-30,Electricista,697.223.5137x172,Pasaje Luxemburgo 804
642812-299,Miriam,Elizondo Jaimes,F,2006-02-01,Electricista,1-798-452-8660x453,Calle Norte de la Torre 827
690849-300,Karla,Valles Camacho,M,1986-07-08,Ingeniero,820.189.8609,Continuación Norte Mondragón 161
930949-301,Genaro,Urbina Villalpando,M,1993-03-02,Profesor,232-073-1428x879,Ampliación San Luis Potosí 998
555739-302,Dalia,Báez Granado,F,1966-04-10,Electricista,1-365-992-9360x552,Viaducto Campeche 128
238010-303,Pascual,Suárez Apodaca,F,1967-05-25,Contador,820-196-3706x9910,Callejón Sur Ponce 616
285764-304,Aldonza,Batista Nieves,F,1982-02-07,Profesor,(695)769-7583x84234,Corredor Perú 992
563144-305,Elvia,Pedraza Quintero,M,1986-09-03,Programador,1-691-830-6922x73833,Peatonal Liechtenstein 207
122073-306,Aldo,Alvarado Laboy,F,2006-08-19,Profesor,772-138-1281x70788,Prolongación Norte Sauceda 867
929713-307,Gabriel,Abrego Blanco,F,1996-11-28,Abogado,036-459-7153x567,Privada Sur García 247
717366-308,Mauricio,Melgar Toro,M,1989-07-26,Ingeniero,724-559-3990x53768,Pasaje Sur Marrero 785
441759-309,Leticia,Tafoya Irizarry,M,1991-11-14,Doctor,100-436-4350x1811,Prolongación Norte Ocasio 346
532771-310,Emilio,Cabrera Martínez,F,2003-02-06,Ingeniero,(842)816-5449,Calzada Federación de Rusia 239
736838-311,Carlos,Tello Villarreal,M,1998-09-24,Profesor,303.424.9770x862,Pasaje Villalpando 866
131477-312,Nayeli,Correa Ramón,M,2002-05-18,Doctor,+91(9)3394762174,Eje vial Aguascalientes 899
436283-313,Rodolfo,Vigil Vallejo,F,1977-01-28,Ingeniero,06500847813,Calle Norte Sepúlveda 338
256974-314,Adriana,Cavazos Ordóñez,F,1980-07-05,Profesor,(067)682-9252x659,Calle Nayarit 448
167895-315,Amador,Segovia Domínguez,F,2004-06-06,Contador,(009)111-3776,Prolongación Mali 499
978446-316,Carlota,Guerra Carranza,M,1985-07-04,Electricista,361.506.0593,Cerrada Baja California 208
307388-317,Adalberto,Casillas Limón,M,1998-03-03,Diseñador,026.309.7203,Retorno Rodarte 228
259034-318,Óliver,Zapata Tamez,F,1979-09-28,Profesor,439.609.0260,Diagonal Sur Ojeda 313
462353-319,Mayte,Sandoval Montero,M,1964-08-24,Doctor,(435)722-5620,Peatonal Jalisco 722
606746-320,Elsa,Arredondo Menéndez,M,1976-12-01,Diseñador,232.987.9754,Calle El Salvador 869
342993-321,Vanesa,Arriaga Maldonado,M,1970-11-03,Programador,(941)539-1959,Pasaje Norte Godínez 331
481699-322,Manuel,Campos Segura,F,1983-05-14,Arquitecto,073-003-3737x3698,Callejón Nueva Zelandia 760
470162-323,Benito,Serna Mesa,M,1983-11-07,Electricista,(628)366-2754,Prolongación Jordania 208
567504-324,Emiliano,Monroy Archuleta,F,1966-11-30,Programador,(718)247-1950x8174,Circuito Sur Benítez 464
829039-325,Alma,Pedraza Chávez,M,1966-04-21,Profesor,009-563-5773x56318,Calzada Verduzco 252
358648-326,Amalia,Lebrón Corral,M,1971-08-19,Profesor,851.149.2772x12265,Andador República Federal Democrática de Nepal 104
464982-327,Ricardo,Cepeda Estrada,F,1991-07-30,Enfermero,+48(2)4641462821,Calle Sur Valles 826
855072-328,Raquel,Candelaria Altamirano,M,2002-07-02,Arquitecto,(501)670-9535x74068,Pasaje Nuevo León 193
993911-329,Pablo,Ortega Rojas,M,1992-03-27,Ingeniero,1-073-167-3609x3347,Privada Bustos 535
634929-330,Yuridia,Piña Rosales,M,1969-07-08,Profesor,+96(5)7349157660,Circuito Congo 329
205226-331,Mitzy,Patiño Iglesias,F,1996-07-24,Enfermero,450-972-9657,Ampliación Chihuahua 887
831019-332,Carlos,Canales Ochoa,F,2002-09-09,Contador,1-474-184-7315,Boulevard Angola 266
570797-333,Mario,Urías Guajardo,M,1979-01-17,Diseñador,443.645.7017x2970,Prolongación Sur Linares 290
964951-334,Juan Carlos,Vergara Bravo,F,1979-10-01,Diseñador,609-340-3025x62671,Circuito Matos 881
615714-335,Marcos,Pabón Morales,M,2004-11-12,Enfermero,688.216.6327,Circuito Afganistán 872
663481-336,Tania,Burgos Sierra,F,1985-12-08,Profesor,202-970-4016,Peatonal Sur Rubio 797
207382-337,Jonás,Perales Montenegro,M,2001-06-10,Doctor,1-559-146-8372x56747,Circuito Coahuila de Zaragoza 710
871566-338,Óscar,Reyna Rosario,M,1984-06-03,Contador,+34(2)0955416485,Calzada Montenegro 473
476355-339,Jonás,Riojas Salgado,F,2006-12-14,Arquitecto,1-239-334-7767x09017,Callejón Avilés 449
329602-340,Jesús,Meléndez Pacheco,M,1991-12-21,Electricista,07565852976,Continuación Veracruz de Ignacio de la Llave 854
922533-341,Maximiliano,Flores Gallegos,M,1967-03-01,Diseñador,(039)165-2478,Prolongación Arabia Saudita 481
278963-342,Isaac,Velázquez Pedroza,F,1973-08-08,Enfermero,378.621.1351x01261,Privada Norte Ybarra 980
980886-343,Mercedes,Jaramillo Rojo,F,1991-09-01,Ingeniero,(068)052-3979,Circunvalación Sur Arenas 907
134377-344,José María,Escamilla Guevara,M,1989-11-13,Enfermero,(701)726-5593,Retorno Rumania 864
539698-345,Daniela,Montenegro Cornejo,F,1986-08-11,Arquitecto,(684)239-3164x4813,Diagonal Zacatecas 368
467375-346,Darío,Anguiano Gaytán,F,1987-10-31,Contador,241.583.0995x525,Continuación Norte Menéndez 813
487868-347,María,Verdugo Cazares,M,2001-07-06,Diseñador,(044)674-2756,Avenida Briones 226
512099-348,Paulina,Narváez Acuña,M,1964-12-08,Programador,1-169-507-4839x2378,Calle Ruelas 137
868547-349,Luisa,Melgar Espinoza,M,2000-08-04,Ingeniero,1-559-385-5138x8605,Retorno Badillo 116
738596-350,María Cristina,Corrales Figueroa,M,1970-03-18,Doctor,00098974247,Cerrada Cuellar 672
852116-351,Sandra,Morales Rosales,M,1996-01-28,Electricista,102-132-2153,Cerrada Colima 876
977507-352,Ricardo,Valdez Pacheco,F,1968-01-01,Electricista,579.196.4772x87121,Periférico Sur Soto 609
948294-353,María Elena,Villalobos Pizarro,M,1990-08-11,Ingeniero,686-868-7661,Diagonal Nigeria 547
533432-354,César,Olivárez Loya,M,1998-11-24,Arquitecto,729-453-7631,Boulevard Uzbekistán 680
597159-355,Reynaldo,Altamirano Segura,M,1993-08-01,Abogado,1-090-478-6630,Diagonal Norte Barreto 369
496754-356,Modesto,Portillo de Anda,M,1965-02-06,Doctor,1-316-093-8666,Periférico Sur Montoya 755
455783-357,Amanda,Rojas Muñoz,M,1979-04-03,Diseñador,1-950-502-2386x884,Cerrada Arenas 379
542392-358,Mayte,Hernández Franco,M,1984-08-13,Diseñador,(192)325-4990,Retorno Sur Salgado 897
376505-359,María Elena,Reyes Paz,F,1978-04-05,Diseñador,1-523-730-3251,Retorno Samoa 871
672695-360,Wendolin,Ortega Segura,M,1971-11-04,Electricista,1-136-472-7132,Diagonal Campeche 915
149693-361,Serafín,Delgado Barragán,M,1971-09-11,Arquitecto,667.814.1777,Retorno Costa Rica 240
907625-362,Zacarías,Becerra Montalvo,F,2004-03-19,Arquitecto,526-452-4435x620,Corredor Sur Angulo 217
503953-363,Bernardo,Centeno Zedillo,F,1990-06-16,Arquitecto,1-638-454-1428x412,Periférico Norte Escobar 755
248923-364,Francisco Javier,Mesa Benavides,M,2006-05-01,Diseñador,1-305-932-8331x7856,Retorno Sur Bernal 983
423984-365,Andrés,Gutiérrez Olmos,F,1978-01-06,Arquitecto,420.345.6078x51086,Andador Emiratos Árabes Unidos 230
265160-366,Estefanía,Apodaca Cabrera,F,1974-06-02,Programador,732-385-4037,Prolongación Porras 956
784355-367,Serafín,Laureano Zedillo,M,1982-05-26,Arquitecto,(061)182-4838,Peatonal Gamboa 825
137179-368,Mateo,Aguirre Valle,M,1992-09-10,Electricista,+01(6)5635726081,Ampliación Norte Romero 570
201553-369,Eduardo,Quiñónez Padilla,M,2000-12-16,Arquitecto,085.778.3024x52727,Continuación Baja California 534
258408-370,Leonor,Rolón Nazario,M,1997-04-10,Ingeniero,734-586-2401x3065,Viaducto Oaxaca 816
915210-371,Mercedes,Lara Ballesteros,F,1988-01-28,Doctor,1-442-310-5310,Circuito Colombia 722
645407-372,Elsa,Avilés Caballero,M,1994-01-20,Programador,439.026.1026x5475,Eje vial Quintana Roo 172
169082-373,Martín,Luevano Armenta,F,1980-05-04,Ingeniero,1-526-438-2071x5276,Periférico Norte Melgar 219
875106-374,Teresa,Armenta Salas,M,1989-10-06,Profesor,(099)742-6221x852,Circuito Jamaica 925
885323-375,Isabel,Olivo Marroquín,M,1990-10-04,Arquitecto,151.592.9342x364,Prolongación Sinaloa 184
395165-376,Ramiro,Centeno Osorio,F,1999-05-24,Profesor,08981321986,Callejón República Dominicana 932
561962-377,Carla,Peralta Salinas,F,1981-05-16,Abogado,(857)434-8990x05442,Peatonal Norte Escobedo 104
350528-378,Nadia,Cisneros Murillo,M,2002-12-08,Enfermero,626.004.8785,Privada Rodrígez 659
182294-379,Sergio,Baeza Vallejo,M,1999-07-12,Ingeniero,883.901.7269x309,Privada Campeche 179
771114-380,Omar,Villanueva Colón,F,1964-05-21,Abogado,005-990-3417x33382,Boulevard Norte Arellano 558
955516-381,Ana,Ledesma Santiago,M,1989-05-02,Enfermero,883.092.9152,Viaducto Yucatán 593
980489-382,Marisol,Vaca Puente,F,1995-07-04,Abogado,+27(1)6008086802,Eje vial Zamora 673
861430-383,Espartaco,Aguayo Rico,F,1995-07-27,Diseñador,206.402.6213,Calzada Hidalgo 116
271979-384,Arcelia,Carrera Sanabria,M,1968-02-27,Contador,1-930-757-4882x94893,Calzada Norte Terrazas 992
408944-385,Abigail,Robles Gómez,F,1968-11-25,Abogado,(776)377-6323,Privada Nájera 892
902335-386,Esperanza,Mares Ozuna,F,1988-05-23,Diseñador,1-668-160-0139x649,Andador Egipto 460
886879-387,Karina,Montes Mares,M,1989-06-21,Arquitecto,640.877.2431x4716,Viaducto Norte Ozuna 413
265591-388,Alfredo,Almonte Espinal,F,1973-03-20,Profesor,462-435-9816,Viaducto México 528
736417-389,Aida,Casárez Armas,M,1973-06-01,Contador,+95(9)7907703328,Privada Viera 399
962460-390,Minerva,Zayas Nájera,F,1972-03-12,Profesor,628-307-4739x093,Prolongación Sur Carrión 444
635255-391,Abigail,Solís Cardenas,M,1981-05-21,Arquitecto,109.554.0949,Circuito Rubio 891
769966-392,Abigail,Moreno Márquez,F,1968-05-27,Ingeniero,960.581.8868x469,Peatonal Nuevo León 404
271271-393,Daniel,Aguilera Cabrera,M,1985-05-07,Enfermero,+48(1)3083302033,Periférico Suárez 834
900751-394,Elsa,Guajardo Laureano,M,1976-08-07,Electricista,09080235062,Cerrada Chipre 777
435383-395,Gloria,Ibarra Reynoso,F,1995-04-10,Doctor,(376)986-8881x3647,Continuación Sierra Leona 910
780086-396,Anel,Valenzuela Armas,M,1999-10-14,Contador,+53(1)0557918471,Corredor Querétaro 546
115442-397,María Eugenia,Villegas Gaytán,M,1978-08-11,Programador,(557)315-8801,Calzada Sonora 827
284956-398,Sandra,Robles Granado,F,1981-12-01,Doctor,1-321-341-5402x61770,Boulevard Murillo 563
458325-399,Abel,Coronado Toro,F,2005-10-31,Abogado,(355)554-9202x341,Pasaje Norte Molina 960
334601-400,Berta,Cortez Heredia,F,1967-05-22,Electricista,(202)556-3292x7331,Cerrada Tuvalu 887
737880-401,Aldo,Aguilar Almaraz,M,1968-10-31,Enfermero,(219)650-8508x3664,Calle Sur Pulido 921
512287-402,Zacarías,Mora Núñez,M,1974-11-27,Ingeniero,+70(1)7670081799,Continuación Puente 926
379073-403,Jesús,Avilés Regalado,F,1967-04-29,Diseñador,124-545-3841,Viaducto República Centroafricana 227
866163-404,Pilar,Cisneros Mercado,F,1999-02-27,Electricista,132-069-1811x3514,Viaducto Norte Alemán 186
676449-405,Esperanza,Alfaro Gastélum,M,2002-01-27,Diseñador,(247)766-8256x747,Callejón Norte Robledo 957
265422-406,Lourdes,Godoy Ávila,F,1968-04-17,Ingeniero,(510)499-2955x618,Andador Norte Ontiveros 210
497889-407,Inés,Madrid Raya,M,1979-07-07,Diseñador,09498259377,Avenida Segura 335
235619-408,Trinidad,Carmona Godínez,F,1965-02-04,Doctor,1-026-391-8649x3565,Corredor Michoacán de Ocampo 501
129204-409,Sara,Olivárez Ávila,F,1978-09-12,Programador,787.296.0542x67486,Calle Sur Curiel 171
389689-410,Socorro,Segovia Tello,M,1995-03-29,Programador,665.188.1918x3201,Pasaje Sur Salcido 749
928170-411,Zacarías,Vallejo Villa,F,1986-10-11,Electricista,+50(7)1990908762,Pasaje Sur Montez 563
946376-412,Héctor,Sevilla Rosas,M,1968-04-24,Enfermero,(418)985-5315x413,Andador Cuba 823
663234-413,Sandra,Valladares Rodrígez,F,1984-02-29,Profesor,033.036.2558,Ampliación Lara 491
867590-414,Raúl,Puente Tamayo,F,1983-12-23,Abogado,(524)078-7197,Ampliación Puebla 902
687338-415,Blanca,Candelaria Olivo,F,1985-03-13,Profesor,09563818744,Pasaje Distrito Federal 927
963188-416,Virginia,Gamboa Alva,M,1986-10-03,Programador,(983)041-3125,Retorno Jalisco 147
615486-417,Raúl,Gamez Arreola,F,1980-10-19,Arquitecto,654.614.0399x1609,Calzada Nuevo León 398
553989-418,Guadalupe,Villanueva de la Rosa,M,1985-12-28,Profesor,833-117-1915,Calzada Coahuila de Zaragoza 538
118944-419,Marisol,Mesa Mateo,M,1982-10-23,Electricista,801.220.1040x4772,Circunvalación Norte Solorio 558
966516-420,Cornelio,Guerra del Río,F,1971-12-19,Programador,204.958.1570x8718,Avenida Hidalgo 522
186688-421,Yolanda,Serna Miramontes,F,1983-02-21,Arquitecto,436.758.3760,Privada Campeche 128
636125-422,Verónica,Salazar Angulo,F,1997-04-30,Contador,09754237308,Eje vial Barrera 636
396525-423,Samuel,Jaramillo Arreola,F,2000-10-26,Enfermero,1-333-379-3704x856,Calle Nayarit 768
641136-424,Irma,Vargas Ocampo,M,1983-02-17,Ingeniero,(615)917-5901,Privada Albania 466
859197-425,Susana,Holguín Perales,F,1980-08-22,Doctor,1-867-195-7794x575,Circunvalación Jamaica 133
801497-426,Violeta,Guajardo Rolón,M,1974-02-14,Abogado,197.142.2874,Ampliación Norte Valenzuela 410
892393-427,Modesto,Archuleta Barela,M,1969-04-08,Profesor,(833)753-7824x55315,Periférico Baja California Sur 913
610781-428,Nelly,Quiñónez Echeverría,F,1990-03-20,Contador,607-717-7310x97760,Viaducto Padrón 920
919411-429,Julio César,Chacón Ceballos,M,1996-01-01,Contador,(691)133-0947x927,Ampliación Norte Marrero 835
527760-430,Hermelinda,Sotelo Armenta,F,1988-09-29,Programador,09183253183,Diagonal Veracruz de Ignacio de la Llave 945
437439-431,Mercedes,Medina Rosales,M,2001-01-04,Arquitecto,713.564.3730x1164,Calle Sur Portillo 258
250152-432,Elisa,Saucedo Guevara,F,1981-09-04,Profesor,(177)472-3794x38888,Circuito República de Macedonia del Norte 101
939519-433,Araceli,Preciado Mota,F,1976-10-06,Profesor,391-372-3572x1855,Eje vial Norte Urrutia 324
969452-434,Humberto,Valle Girón,M,2003-07-10,Programador,916-040-9806,Boulevard Jalisco 491
630834-435,Esparta,Zayas Madrigal,M,1980-11-24,Electricista,06176778434,Privada Vaca 921
718123-436,Florencia,Treviño Amaya,F,1998-11-09,Doctor,(869)362-9527,Circuito Sur Lozada 317
955533-437,Sergio,Vázquez Guzmán,M,1994-05-05,Contador,129.373.1167x0309,Calzada Hernández 530
474435-438,Marcos,Verduzco Salazar,F,1971-07-28,Electricista,1-473-588-1631,Andador Jaime 223
483432-439,Wendolin,Abreu Loya,F,1969-09-11,Ingeniero,1-356-236-6987,Peatonal Campeche 648
495684-440,Paulina,Jáquez Vallejo,M,1990-03-20,Profesor,(772)169-7864,Diagonal Armenia 501
773526-441,Amelia,Mireles Angulo,M,1984-04-17,Abogado,08642540754,Calzada Norte Hernandes 330
840820-442,Samuel,Madrid Serrano,F,1992-10-27,Electricista,488-722-6800x1933,Viaducto San Luis Potosí 354
676233-443,Graciela,Arreola Viera,M,1974-02-27,Electricista,172-082-9078,Cerrada Tlaxcala 206
434185-444,Verónica,Prado Olivera,F,2000-12-17,Enfermero,(498)161-7900x358,Andador Sonora 784
396123-445,Lorena,Ortega Caldera,M,1973-10-31,Programador,(110)723-1358,Retorno Swazilandia 783
966730-446,Hilda,Camacho Carranza,F,1989-12-30,Contador,(778)067-6693x18556,Cerrada Botswana 183
377134-447,Micaela,Mendoza de la O,F,1991-06-07,Ingeniero,239-752-9728,Calle Swazilandia 673
164825-448,Luis,Lozano Espino,M,1980-08-13,Profesor,644-113-1262,Privada Sur Villa 452
477857-449,Ignacio,Ojeda Montemayor,F,1992-06-30,Profesor,1-906-405-2610x142,Boulevard Sur Razo 532
145114-450,Diego,Sandoval Soria,M,1989-07-28,Abogado,837-258-4760,Cerrada Norte Magaña 164
360528-451,David,Villalpando Cortés,M,1977-08-12,Contador,(757)586-4417,Calle Norte Toro 129
508008-452,Arcelia,Cardenas Ramos,M,1971-01-16,Programador,(008)114-6914,Periférico Albania 101
252918-453,Elena,Curiel Aguilera,F,1986-07-16,Ingeniero,625-775-8959,Calzada Blanco 369
504057-454,Jerónimo,Barreto Ramón,M,2001-06-19,Arquitecto,977.100.1838,Periférico Samoa 262
177245-455,Pamela,Miramontes Santiago,F,1993-01-19,Enfermero,(774)074-5201x08022,Diagonal Distrito Federal 543
367209-456,Arcelia,Pedroza Arredondo,M,1977-09-14,Ingeniero,459-690-9793x642,Continuación Nuevo León 361
144289-457,Florencia,Sáenz Guajardo,M,1991-01-08,Ingeniero,1-628-139-7027x47295,Calle Distrito Federal 501
730699-458,Modesto,Carvajal Guerra,M,1964-11-06,Doctor,04935886776,Prolongación Sur Covarrubias 481
797606-459,Irene,Zepeda Acevedo,F,1989-12-10,Doctor,(869)529-5305x25528,Avenida Irán 790
291543-460,Zeferino,Mares Gálvez,M,1997-07-03,Electricista,(292)551-1316,Boulevard Baca 431
222940-461,Susana,Vallejo Burgos,F,1982-06-16,Diseñador,1-118-356-3240x08630,Retorno Sur Carrillo 546
380177-462,Norma,Sáenz Rubio,M,1999-08-08,Diseñador,(027)445-2736x18195,Calle México 650
617283-463,Alicia,Montero Mares,F,1968-11-29,Profesor,250.682.2383x042,Avenida Honduras 789
719675-464,Abigail,Manzanares de la Rosa,M,1986-01-29,Profesor,634.102.4171,Boulevard Lozada 396
425928-465,Wilfrido,Rascón Ceballos,F,1969-04-29,Enfermero,461-106-0508,Periférico Sur Pineda 354
821632-466,Adela,Mota Bustamante,F,1975-09-17,Contador,719-088-5791x3920,Circunvalación Granados 413
221849-467,Citlali,Mejía Jurado,M,1989-10-06,Abogado,1-041-526-6225,Eje vial Oaxaca 937
991424-468,Espartaco,Ayala Alba,F,1985-08-04,Enfermero,(683)534-7371,Pasaje Norte Porras 105
807278-469,Óscar,Fierro Roque,M,2004-09-07,Profesor,370-942-4402x99366,Retorno Zacatecas 125
131578-470,Mónica,Olivera Domínguez,F,1970-05-06,Contador,+96(3)9261909634,Calzada Paraguay 621
305955-471,Fernando,Ochoa Alonso,M,1980-07-29,Ingeniero,240.639.2659x9841,Callejón Norte Aparicio 606
267532-472,Esperanza,Sierra Galván,M,1989-11-26,Profesor,049.785.1965,Diagonal Azerbaiyán 767
773793-473,Homero,Dávila Esparza,F,1970-10-05,Profesor,426.594.0415x1162,Circunvalación Sur Leiva 195
574113-474,Esther,Rolón Oquendo,F,1996-04-25,Diseñador,1-808-808-7269x060,Privada Distrito Federal 687
892495-475,Aldonza,Cabán Leiva,M,1983-06-20,Programador,(727)002-1583x756,Prolongación Elizondo 392
199492-476,Bruno,Valdés Porras,F,1976-12-23,Contador,(477)734-9560,Boulevard Solano 157
488961-477,Perla,Polanco Márquez,M,1988-04-12,Enfermero,873.778.9269x89199,Calzada Lituania 323
530837-478,Adela,Pérez Caballero,F,2001-03-02,Ingeniero,(416)208-7776x7210,Eje vial Carrasco 487
653171-479,Beatriz,Limón Garrido,F,1989-08-21,Arquitecto,+49(0)5210541987,Retorno Eritrea 842
936297-480,Benjamín,Brito Villegas,M,1968-10-24,Ingeniero,445-695-0452x19377,Boulevard Sur Perea 394
638293-481,Marisol,Griego Quintero,M,1983-05-27,Ingeniero,303.921.4394,Continuación Sur Garay 275
401746-482,Wilfrido,Hernandes Segura,M,1984-06-14,Abogado,370-449-9861x23895,Andador Palacios 139
768476-483,Josefina,Partida Soto,F,1976-06-28,Abogado,(224)199-1689x44559,Calle Menchaca 232
640119-484,Karina,Molina Lozada,M,1972-02-17,Abogado,00464814918,Peatonal Veracruz de Ignacio de la Llave 367
303959-485,Miriam,Mena Saucedo,M,1986-07-23,Electricista,1-991-468-1973,Retorno Jalisco 813
465045-486,Patricio,Casillas Dávila,M,1997-08-20,Abogado,04219678329,Pasaje Estonia 645
357049-487,Marcos,Carrillo Véliz,M,1995-03-28,Contador,806.877.8923,Andador Marín 298
697176-488,Delia,Arroyo Olivo,M,1986-01-29,Abogado,(878)515-4647x547,Privada Sur Saucedo 718
931669-489,Marcos,Valles Medina,M,1978-05-02,Abogado,235.334.5907x71081,Peatonal Argentina 487
847534-490,Abraham,Amaya Velásquez,F,2003-01-23,Enfermero,(944)391-9531x871,Privada Norte Polanco 964
538290-491,Amalia,Nájera Cabrera,M,2006-06-08,Arquitecto,06614336956,Boulevard Guevara 603
107304-492,Ángel,Miramontes Zaragoza,F,1988-01-03,Profesor,+09(3)2707115812,Cerrada Sur Tapia 476
199498-493,Rocío,Tafoya Durán,M,1971-02-11,Abogado,1-109-599-0192x45440,Eje vial Sur Ferrer 438
158496-494,Santiago,Cisneros Almaraz,M,2004-01-15,Contador,1-679-875-2911,Corredor Sur Domínguez 300
617260-495,Gerónimo,Ruelas Malave,F,1982-10-25,Doctor,1-044-812-9743,Prolongación Ramón 519
